name,brand,barcode,category,image_url,ingredients
Be Atomic bain douche moussant senteur fleur de coton,"Be Atomic, Sephora",3378872098157,"Hygiène, Douches et bains, Bains moussants",,"Aqua (water), sodium laureth sulfate, glycerin, cocamidopropyl bataine, acrylates crosspolymer-4, parfum (fragrance), sodium chloride, sodium benzoate, citric acid, mannitol, potassium sorbate, disodium EDTA, cellulose, benzotriazolyl dodecyl p-cresol, linalool, buteth-3, coumarin, citronellol, sodium benzotriazolyl butylphenol sulfonate, hydroxycitronellal, acrylates copolymer, geraniol, CI 73360 (red 30 lake), hydroxypropylcellulose, decyl glucoside, talc, triethyl citrate, acrylates/ammonium methacrylate copolymer, hydroxypropyl methylcellulose, mica, caprylic/capric triglyceride, tributyl citrate, sodium hydroxide, PEG-150 pentaerythrityl tetrastearate, PEG-6 caprylic/capric glycerides, polysorbate 20, CI 77891 (titanium dioxide), CI 17200 (red 33), CI 19140 (yellow 5)."
Masque yeux thé vert,Sephora,3378872100072,"Visage, Masques visage",https://images.openbeautyfacts.org/images/products/337/887/210/0072/front_fr.4.400.jpg,
masque pieds amande,Sephora,3378872102007,,https://images.openbeautyfacts.org/images/products/337/887/210/2007/front_fr.3.400.jpg,
Sephora Collection Nose Strip Charcoal 1 Strip,Sephora,3378872102113,,,Acohol Denat. ? Vinyd CaprolactamA/P/Dimethydaminoethyi Methactylate ? Sifica Dimethyd stMate ? Aqua (Water) ? PEG-12 Dimethicone ? CharcoaJ Powder ? Ct 77891 (Tftanium Dioxide) ? Alantoin ? T?ophen/ Acetate ? Dipotasium GhycyThizate ? CI 77499 (Iron Oxdes) ? Aoe Bamadensis Leaf Juice Povv'dee ? Hamamelis Virginiana (Wrtch Haze0 BarklLeaf/Twig Extract ? Gtycol ? T-Butyd Acohol ? Cameffla Sinensis Leaf Extract ? Matcxjextm ? ? Denatonium Benzoate.
Lingettes démaquillante,Sephora,3378872103547,,,
Lingettes matifiantes thé vert Visage,Sephora,3378872103578,"Accessoires, Lingettes imprégnées",https://images.openbeautyfacts.org/images/products/337/887/210/3578/front_fr.4.400.jpg,
Baume lèvres rose,Sephora,3378872105329,"en:lip-cosmetics, Visage, Baumes à lèvres",https://images.openbeautyfacts.org/images/products/337/887/210/5329/front_fr.9.400.jpg,
Gelée Micellaire démaquillante yuzu,Sephora,3378872105435,,https://images.openbeautyfacts.org/images/products/337/887/210/5435/front_fr.3.400.jpg,
Lait micellaire demaquillant,Sephora,3378872105442,,https://images.openbeautyfacts.org/images/products/337/887/210/5442/front_fr.4.400.jpg,"Aqua, glycerin, poloxamer 184, phenoxyethanol, acrylate copolymer, butylene glycol, PEG-40, hydrogenated castor oil, propyle glycol, parfum (fragrance) cantharide gum, citron acide,"
Crème main hydratante à la mangue,SEPHORA,3378872105992,,https://images.openbeautyfacts.org/images/products/337/887/210/5992/front_fr.3.400.jpg,
Crème mains hydratante,Sephora,3378872106005,,https://images.openbeautyfacts.org/images/products/337/887/210/6005/front_fr.4.400.jpg,
palette de  maquillage ,sephora,3378872112600,,https://images.openbeautyfacts.org/images/products/337/887/211/2600/front_fr.3.400.jpg,
Creme main wonderland,Sephora,3378872112792,,https://images.openbeautyfacts.org/images/products/337/887/211/2792/front_fr.4.400.jpg,"Cromo mains hydratante tryfir•o tcxRe Moisturizing hand croam Witt&quot; cxtrzLt. skin soft and moisturizod alt day Dermatologgcalty testod. Cara • • rrün • • • Czcxra (&quot;tru rr&i • • rw rura&quot; • puo • • • d oc*cm • • • • CICM 8 • Stuate • • Paeun • Stuc'/ • • Cnrrwn • rss,rA.rn • PotsÀrn • z z tzŒmCA94105, in"
